name,value
AB_Anforderung_eCall,keine_Anforderung
BCM_Bremsbelag_Sensor,OK
BCM_Bremsbelag_Sensor_CND,OK
BCM_Bremsbelag_Sensor_NAR,OK
BCM_Bremsbelag_Sensor_Rdw,OK
BCM_Kuehlmittel_Sensor,OK
BMS_DC_Ladeprofil_Wechsel,keinWechselMoeglich
BMS_DC_Ladeschuetze_Ist,Init
BMS_IsoFehler,IsoFehler_Schwelle_2
BMS_IsoFehler,IWU_defekt
BMS_IsoFehler,kein_IsoFehler
BMS_Ladezustand,42.3
BMS_Ladezustand,50.3
BMS_Ladezustand,60.5
BMS_Ladezustand,37.2
BMS_Ladezustand,53.9
BMS_Ladezustand,71.4
BMS_Ladezustand,37.8
BMS_Ladezustand,67.8
BMS_Ladezustand,40.85
BMS_Ladezustand,57.9
BMS_Ladezustand,69.7
BMS_Ladezustand,70.3
BMS_Ladezustand,41.95
BMS_Ladezustand,73.6
BMS_Ladezustand,64.8
BMS_Ladezustand,56.55
BMS_Ladezustand,63.5
BMS_Ladezustand,43.5
BMS_Ladezustand,35.2
BMS_Ladezustand,61.25
BMS_Ladezustand,36.7
BMS_Ladezustand,70.15
BMS_Ladezustand,51.25
BMS_Ladezustand,54.05
BMS_Ladezustand,55.45
BMS_Ladezustand,67.25
BMS_Ladezustand,69.2
BMS_Ladezustand,70.9
BMS_Ladezustand,58.75
BMS_Ladezustand,67.5
BMS_Ladezustand,62.6
BMS_Ladezustand,61.6
BMS_Ladezustand,50.4
BMS_Ladezustand,69.1
BMS_Ladezustand,33.3
BMS_Ladezustand,69.6
BMS_Ladezustand,42.1
BMS_Ladezustand,56.65
BMS_Ladezustand,50.8
BMS_Ladezustand,43.55
BMS_Ladezustand,35.3
BMS_Ladezustand,63.65
BMS_Ladezustand,71.35
BMS_Ladezustand,34.1
BMS_Ladezustand,63.55
BMS_Ladezustand,74.65
BMS_Ladezustand,37.45
BMS_Ladezustand,53
BMS_Ladezustand,49.85
BMS_Ladezustand,58.65
BMS_Ladezustand,43.15
BMS_Ladezustand,69.3
BMS_Ladezustand,52.15
BMS_Ladezustand,37
BMS_Ladezustand,59.6
BMS_Ladezustand,56
BMS_Ladezustand,55.6
BMS_Ladezustand,61.5
BMS_Ladezustand,38.7
BMS_Ladezustand,54.65
BMS_Ladezustand,50.85
BMS_Ladezustand,42.6
BMS_Ladezustand,63.05
BMS_Ladezustand,53.65
BMS_Ladezustand,60.85
BMS_Ladezustand,62.5
BMS_Ladezustand,64.1
BMS_Ladezustand,60.7
BMS_Ladezustand,60.05
BMS_Ladezustand,41.5
BMS_Ladezustand,33.85
BMS_Ladezustand,73.7
BMS_Ladezustand,42.8
BMS_Ladezustand,62.85
BMS_Ladezustand,60.45
BMS_Ladezustand,70
BMS_Ladezustand,69.25
BMS_Ladezustand,55.9
BMS_Ladezustand,53.6
BMS_Ladezustand,44.3
BMS_Ladezustand,50.35
BMS_Ladezustand,53.5
BMS_Ladezustand,65.05
BMS_Ladezustand,69.05
BMS_Ladezustand,73.55
BMS_Ladezustand,57.55
BMS_Ladezustand,66.8
BMS_Ladezustand,42.05
BMS_Ladezustand,49.45
BMS_Ladezustand,72.15
BMS_Ladezustand,72.25
BMS_Ladezustand,43.3
BMS_Ladezustand,43.1
BMS_Ladezustand,59.9
BMS_Ladezustand,38.8
BMS_Ladezustand,53.8
BMS_Ladezustand,33.6
BMS_Ladezustand,42.65
BMS_Ladezustand,51.85
BMS_Ladezustand,53.15
BMS_Ladezustand,66.45
BMS_Ladezustand,35.8
BMS_Ladezustand,42.9
BMS_Ladezustand,56.4
BMS_Ladezustand,53.7
BMS_Ladezustand,55.4
BMS_Ladezustand,67.1
BMS_Ladezustand,59.55
BMS_Ladezustand,66.55
BMS_Ladezustand,65.15
BMS_Ladezustand,49.95
BMS_Ladezustand,38.85
BMS_Ladezustand,68.35
BMS_Ladezustand,60.35
BMS_Ladezustand,60.2
BMS_Ladezustand,64.5
BMS_Ladezustand,49.55
BMS_Ladezustand,59.75
BMS_Ladezustand,36
BMS_Ladezustand,43.4
BMS_Ladezustand,64.6
BMS_Ladezustand,36.35
BMS_Ladezustand,41.6
BMS_Ladezustand,38.2
BMS_Ladezustand,33.9
BMS_Ladezustand,61.9
BMS_Ladezustand,39
BMS_Ladezustand,69.45
BMS_Ladezustand,34.2
BMS_Ladezustand,58.8
BMS_Ladezustand,65.45
BMS_Ladezustand,60.15
BMS_Ladezustand,71.95
BMS_Ladezustand,37.55
BMS_Ladezustand,37.95
BMS_Ladezustand,70.4
BMS_Ladezustand,66.9
BMS_Ladezustand,61.1
BMS_Ladezustand,39.7
BMS_Ladezustand,61.95
